text,category,priority
I urgently need access to HR portal for business operations,Account Access,High
I received an unexpected security alert from cloud account,Security,Medium
The production production environment is down across the organization,Infrastructure,Critical
Urgent issue: my company laptop overheats and shuts down occasionally,Hardware,Medium
I forgot my password for Microsoft 365,Account Access,Low
Support needed: i received a phishing message asking for my cloud account password,Security,High
Support needed: microsoft Teams failure is preventing the team from completing critical work,Software,High
The display on my laptop keeps flickering,Hardware,Medium
Please help. the company laptop has completely stopped working,Hardware,High
Please help. the entire production environment for production server has gone offline,Infrastructure,Critical
The production server keeps crashing during business hours,Infrastructure,High
Performance of the web application has degraded,Infrastructure,Medium
Excel crashes continuously for several employees,Software,High
CRM application installation fails on my computer,Software,Low
I need assistance because my employee portal credentials may have been compromised,Security,High
Urgent issue: my desktop computer will not turn on,Hardware,High
I want to change my company account password,Account Access,Low
Urgent issue: wiFi signal is weak in the engineering floor,Network,Low
Money was taken even though the support plan transaction failed,Billing,High
The entire production environment for web application has gone offline,Infrastructure,Critical
My admin dashboard credentials may have been compromised,Security,High
Urgent issue: the display on my laptop keeps flickering,Hardware,Medium
I cannot sign into cloud account,Account Access,Medium
My Microsoft 365 credentials may have been compromised,Security,High
Please help. the entire production environment for internal portal has gone offline,Infrastructure,Critical
I need assistance because a major component of the internal portal is failing,Infrastructure,High
I need assistance because sensitive company data from cloud account may have been stolen,Security,Critical
Please help. the finance department cannot connect to the corporate network,Network,High
company application crashes continuously for several employees,Software,High
Internet disconnects several times a day in the finance department,Network,Medium
The latest update for Outlook will not install,Software,Low
The entire customer platform is offline and nobody can use it,Infrastructure,Critical
company application freezes during normal work,Software,Medium
Please help. payment failed but money was deducted for service plan,Billing,High
I cannot access my cloud account account after several attempts,Account Access,Medium
Urgent issue: please send me a password reset for Microsoft 365,Account Access,Low
Please provide the receipt for company purchase,Billing,Low
Where can I download my service plan invoice,Billing,Low
The production environment is unavailable for many users,Infrastructure,High
I need assistance because internet disconnects several times a day in the support department,Network,Medium
I received an unexpected security alert from customer portal,Security,Medium
I cannot remember my company email password,Account Access,Low
Please help. i cannot access my customer portal account after several attempts,Account Access,Medium
I need help configuring CRM application,Software,Low
Network performance is inconsistent in the main office,Network,Low
Urgent issue: the monitor connected to my desktop computer keeps disconnecting,Hardware,Medium
Malware has infected systems connected to cloud account,Security,Critical
I have completely lost access to employee portal and cannot continue working,Account Access,High
My laptop overheats and shuts down occasionally,Hardware,Medium
Outlook closes unexpectedly when I use it,Software,Medium
There is an unexpected charge for service plan,Billing,Medium
I need assistance because the connection becomes unstable throughout the day in the main office,Network,Medium
Support needed: payment failed but money was deducted for company purchase,Billing,High
Support needed: my credentials are being rejected by employee portal,Account Access,Medium
My access to company account suddenly stopped during critical work,Account Access,High
I urgently need access to customer portal for business operations,Account Access,High
Please help. my laptop overheats and shuts down occasionally,Hardware,Medium
Support needed: the amount on my monthly subscription invoice is incorrect,Billing,Medium
Support needed: there is an unexpected charge for software license,Billing,Medium
An important feature in accounting software has completely stopped working,Software,High
The database server is unavailable for many users,Infrastructure,High
Internet latency is very high in the engineering floor,Network,Medium
I need assistance because the password reset link for employee portal has expired,Account Access,Low
Please help. my access to admin dashboard suddenly stopped during critical work,Account Access,High
Support needed: performance of the production server has degraded,Infrastructure,Medium
Please help. internet speed is slightly slow in the engineering floor,Network,Low
Some employees are having trouble accessing the backend service,Infrastructure,Medium
I need assistance because where can I download my cloud subscription invoice,Billing,Low
Urgent issue: the latest update for desktop application will not install,Software,Low
The latest update for ERP system will not install,Software,Low
Support needed: the web application is unavailable for many users,Infrastructure,High
Urgent issue: the workstation has completely stopped working,Hardware,High
I have completely lost access to company account and cannot continue working,Account Access,High
I need assistance because i have completely lost access to company account and cannot continue working,Account Access,High
I need assistance because suspicious activity was detected on my company account account,Security,High
Some employees are having trouble accessing the internal portal,Infrastructure,Medium
I need assistance because i was billed twice for the same cloud subscription,Billing,High
Microsoft Teams crashes whenever I open it,Software,Medium
The connection becomes unstable throughout the day in the support department,Network,Medium
My refund for support plan is delayed,Billing,Medium
Login to employee portal keeps failing,Account Access,Medium
I need billing details for cloud subscription,Billing,Low
Please send me a password reset for Microsoft 365,Account Access,Low
The workstation freezes randomly during work,Hardware,Medium
Urgent issue: internet disconnects several times a day in the meeting area,Network,Medium
Internet speed is slightly slow in the engineering floor,Network,Low
Please help. all customers have lost access to the internal portal,Infrastructure,Critical
Please help. accounting software is completely unusable and blocking my work,Software,High
Support needed: i cannot remember my company email password,Account Access,Low
Urgent issue: a suspicious attachment was sent to my Microsoft 365 account,Security,Medium
Urgent issue: excel closes whenever I try to read a message,Software,Medium
Network performance is inconsistent in the meeting area,Network,Low
The workstation has completely stopped working,Hardware,High
Someone logged into my HR portal account without permission,Security,High
Network access is completely unavailable in the branch office,Network,High
desktop application displays an unexpected error,Software,Medium
Urgent issue: all customers have lost access to the web application,Infrastructure,Critical
There is a complete outage of the internal portal,Infrastructure,Critical
The finance department cannot connect to the corporate network,Network,High
Sensitive company data from admin dashboard may have been stolen,Security,Critical
I am unable to authenticate to customer portal,Account Access,Medium
Urgent issue: suspicious activity was detected on my Microsoft 365 account,Security,High
Support needed: there is an unexpected charge for cloud subscription,Billing,Medium
I need assistance because internet speed is slightly slow in the meeting area,Network,Low
I need assistance because i am unable to authenticate to company account,Account Access,Medium
Suspicious activity was detected on my company email account,Security,High
Support needed: employees keep losing network connectivity in the support department,Network,Medium
I received a phishing message asking for my company email password,Security,High
I need assistance because eRP system stops responding after a few minutes,Software,Medium
I need help configuring accounting software,Software,Low
CRM application is completely unusable and blocking my work,Software,High
I need assistance because the latest update for Outlook will not install,Software,Low
I need help installing Excel,Software,Low
Someone logged into my cloud account account without permission,Security,High
Internet latency is very high in the finance department,Network,Medium
I need assistance because please send me a password reset for company account,Account Access,Low
My company laptop is making a strange noise,Hardware,Low
Support needed: a security breach exposed confidential data in company email,Security,Critical
Please help. there is an unexpected charge for support plan,Billing,Medium
Urgent issue: an attacker gained administrator access to company email,Security,Critical
Support needed: my office computer continuously restarts and I cannot work,Hardware,High
Performance of the cloud platform has degraded,Infrastructure,Medium
Money was taken even though the company purchase transaction failed,Billing,High
The hard drive in my laptop appears to have failed,Hardware,High
I need assistance because cRM application freezes during normal work,Software,Medium
The production database server is down across the organization,Infrastructure,Critical
I need help configuring desktop application,Software,Low
Support needed: cRM application crashes continuously for several employees,Software,High
Many employees cannot access the cloud platform,Infrastructure,High
My company laptop continuously restarts and I cannot work,Hardware,High
Where can I download my software license invoice,Billing,Low
The monitor connected to my laptop keeps disconnecting,Hardware,Medium
Urgent issue: i received an unexpected security alert from HR portal,Security,Medium
Please explain a charge for software license,Billing,Low
Microsoft Teams crashes continuously for several employees,Software,High
Please help. i cannot remember my company account password,Account Access,Low
Support needed: i received a phishing message asking for my employee portal password,Security,High
Urgent issue: eRP system is completely unusable and blocking my work,Software,High
I need assistance because internet disconnects several times a day in the main office,Network,Medium
The monitor connected to my company laptop keeps disconnecting,Hardware,Medium
Support needed: where can I download my monthly subscription invoice,Billing,Low
Someone may have stolen my customer portal login credentials,Security,High
The internal portal is responding slowly to requests,Infrastructure,Medium
Urgent issue: please send me a password reset for customer portal,Account Access,Low
Urgent issue: i need help configuring CRM application,Software,Low
The password reset link for employee portal has expired,Account Access,Low
accounting software is completely unusable and blocking my work,Software,High
desktop application crashes whenever I open it,Software,Medium
Microsoft Teams is completely unusable and blocking my work,Software,High
Please help. there is an unexpected charge for company purchase,Billing,Medium
My employee portal account is locked,Account Access,Medium
Where can I download my cloud subscription invoice,Billing,Low
Urgent issue: the entire support department has lost network connectivity,Network,High
Urgent issue: administrator credentials for customer portal have been compromised,Security,Critical
I need assistance because my HR portal credentials may have been compromised,Security,High
Outlook freezes during normal work,Software,Medium
My company account account is locked,Account Access,Medium
I have completely lost access to company email and cannot continue working,Account Access,High
company application crashes when I try to open a file,Software,Medium
My HR portal credentials may have been compromised,Security,High
I need help installing desktop application,Software,Low
I cannot sign into company account,Account Access,Medium
I cannot sign into HR portal,Account Access,Medium
The mouse connected to my workstation is not responding correctly,Hardware,Low
I cannot sign into customer portal,Account Access,Medium
Support needed: a major component of the web application is failing,Infrastructure,High
My account was charged multiple times for company purchase,Billing,High
The cloud platform has completely crashed for all users,Infrastructure,Critical
Support needed: i need help resetting my password for customer portal,Account Access,Low
My credentials are being rejected by cloud account,Account Access,Medium
Please help. the production production server is down across the organization,Infrastructure,Critical
A major component of the production server is failing,Infrastructure,High
The company laptop has completely stopped working,Hardware,High
My access to customer portal suddenly stopped during critical work,Account Access,High
Support needed: the hard drive in my company laptop appears to have failed,Hardware,High
desktop application crashes continuously for several employees,Software,High
I urgently need access to Microsoft 365 for business operations,Account Access,High
ERP system is completely unusable and blocking my work,Software,High
Employees in the main office cannot connect to the company VPN,Network,High
Outlook is completely unusable and blocking my work,Software,High
A duplicate charge appeared for monthly subscription,Billing,High
Support needed: my company account account was disabled and important work is blocked,Account Access,High
There is a complete outage of the cloud platform,Infrastructure,Critical
Please help. i cannot sign into company email,Account Access,Medium
Confidential information from company account was accessed without permission,Security,Critical
The entire support department has lost network connectivity,Network,High
The latest update for Microsoft Teams will not install,Software,Low
Urgent issue: the amount on my company purchase invoice is incorrect,Billing,Medium
Someone logged into my Microsoft 365 account without permission,Security,High
WiFi coverage is poor in the branch office,Network,Low
The monitor connected to my office computer keeps disconnecting,Hardware,Medium
I need assistance because wiFi signal is weak in the branch office,Network,Low
The production environment is experiencing a serious service disruption,Infrastructure,High
Support needed: payment failed but money was deducted for software license,Billing,High
ERP system closes unexpectedly when I use it,Software,Medium
My HR portal account was disabled and important work is blocked,Account Access,High
The database server is responding slowly to requests,Infrastructure,Medium
Please help. i need help installing company application,Software,Low
Some employees are having trouble accessing the production environment,Infrastructure,Medium
My laptop is making a strange noise,Hardware,Low
I received a suspicious email related to company account,Security,Medium
There was an unusual login attempt on HR portal,Security,Medium
Support needed: the customer platform has completely crashed for all users,Infrastructure,Critical
Employees keep losing network connectivity in the branch office,Network,Medium
WiFi coverage is poor in the engineering floor,Network,Low
I need a copy of my invoice for service plan,Billing,Low
desktop application crashes when I try to open a file,Software,Medium
accounting software displays an unexpected error,Software,Medium
Support needed: the database server keeps crashing during business hours,Infrastructure,High
A suspicious attachment was sent to my company email account,Security,Medium
Please help. excel crashes whenever I open it,Software,Medium
Support needed: company application closes whenever I try to read a message,Software,Medium
I am unable to authenticate to cloud account,Account Access,Medium
Employees keep losing network connectivity in the support department,Network,Medium
Excel freezes during normal work,Software,Medium
I need assistance because login to company account keeps failing,Account Access,Medium
The production environment is responding slowly to requests,Infrastructure,Medium
Microsoft Teams displays an unexpected error,Software,Medium
The display on my company laptop keeps flickering,Hardware,Medium
My desktop computer will not turn on,Hardware,High
My credentials are being rejected by customer portal,Account Access,Medium
Support needed: i received a phishing message asking for my HR portal password,Security,High
Support needed: the database server is running unusually slowly,Infrastructure,Medium
Please help. i need billing details for service plan,Billing,Low
Urgent issue: outlook crashes when I try to open a file,Software,Medium
The amount on my monthly subscription invoice is incorrect,Billing,Medium
Please help. please explain a charge for service plan,Billing,Low
I need assistance because i need a copy of my invoice for company purchase,Billing,Low
Please help. someone logged into my HR portal account without permission,Security,High
Administrator credentials for cloud account have been compromised,Security,Critical
Payment failed but money was deducted for support plan,Billing,High
Please send me a password reset for admin dashboard,Account Access,Low
Please help. my company account credentials may have been compromised,Security,High
The hard drive in my desktop computer appears to have failed,Hardware,High
I need assistance because desktop application closes unexpectedly when I use it,Software,Medium
Please help. my refund for support plan has not arrived,Billing,Medium
My refund for cloud subscription is delayed,Billing,Medium
I need assistance because i cannot sign into cloud account,Account Access,Medium
The entire internal portal is offline and nobody can use it,Infrastructure,Critical
WiFi disconnects frequently in the finance department,Network,Medium
Urgent issue: employees keep losing network connectivity in the finance department,Network,Medium
I need assistance because i need help installing ERP system,Software,Low
My refund for company purchase is delayed,Billing,Medium
Employees keep losing network connectivity in the engineering floor,Network,Medium
The password reset link for company account has expired,Account Access,Low
I need assistance because there was an unusual login attempt on Microsoft 365,Security,Medium
Support needed: the support department cannot connect to the corporate network,Network,High
Malware has infected systems connected to customer portal,Security,Critical
My account was charged multiple times for software license,Billing,High
I received a suspicious email related to admin dashboard,Security,Medium
I need assistance because i was charged the wrong price for support plan,Billing,Medium
The web application is experiencing a serious service disruption,Infrastructure,High
The customer platform has completely crashed for all users,Infrastructure,Critical
Internet disconnects several times a day in the engineering floor,Network,Medium
I cannot sign into company email,Account Access,Medium
Please help. i need help resetting my password for admin dashboard,Account Access,Low
Urgent issue: malware has infected systems connected to HR portal,Security,Critical
The printer connected to my laptop has a minor issue,Hardware,Low
Please help. i forgot my password for customer portal,Account Access,Low
Urgent issue: there was an unusual login attempt on cloud account,Security,Medium
Urgent issue: employees keep losing network connectivity in the branch office,Network,Medium
Support needed: a major component of the backend service is failing,Infrastructure,High
Please help. the cloud platform is unavailable company wide,Infrastructure,Critical
The cloud platform is experiencing a serious service disruption,Infrastructure,High
My laptop continuously restarts and I cannot work,Hardware,High
The backend service has completely crashed for all users,Infrastructure,Critical
A security breach exposed confidential data in admin dashboard,Security,Critical
I need a copy of my invoice for monthly subscription,Billing,Low
I need assistance because login to HR portal keeps failing,Account Access,Medium
CRM application stops responding after a few minutes,Software,Medium
I need assistance because please explain a charge for support plan,Billing,Low
CRM application crashes whenever I open it,Software,Medium
The production server is unavailable for many users,Infrastructure,High
I need assistance because microsoft Teams is completely unusable and blocking my work,Software,High
Suspicious activity was detected on my cloud account account,Security,High
Support needed: the connection becomes unstable throughout the day in the support department,Network,Medium
Confidential information from cloud account was accessed without permission,Security,Critical
An important feature in ERP system has completely stopped working,Software,High
The company laptop freezes randomly during work,Hardware,Medium
ERP system crashes whenever I open it,Software,Medium
Please help. money was taken even though the software license transaction failed,Billing,High
The hard drive in my office computer appears to have failed,Hardware,High
The amount on my software license invoice is incorrect,Billing,Medium
I have completely lost access to Microsoft 365 and cannot continue working,Account Access,High
Please help. sensitive company data from admin dashboard may have been stolen,Security,Critical
My refund for software license is delayed,Billing,Medium
The password reset link for admin dashboard has expired,Account Access,Low
The entire backend service is offline and nobody can use it,Infrastructure,Critical
The web application is unavailable company wide,Infrastructure,Critical
A major component of the backend service is failing,Infrastructure,High
Internet speed is slightly slow in the main office,Network,Low
There is a complete outage of the database server,Infrastructure,Critical
Malware has infected systems connected to employee portal,Security,Critical
I need assistance because i urgently need access to admin dashboard for business operations,Account Access,High
I cannot access my Microsoft 365 account after several attempts,Account Access,Medium
I need help resetting my password for customer portal,Account Access,Low
Support needed: the workstation freezes randomly during work,Hardware,Medium
I received a phishing message asking for my HR portal password,Security,High
Urgent issue: network access is completely unavailable in the engineering floor,Network,High
Microsoft Teams stops responding after a few minutes,Software,Medium
My refund for cloud subscription has not arrived,Billing,Medium
Please help. i need help configuring desktop application,Software,Low
Someone may have stolen my admin dashboard login credentials,Security,High
The customer platform keeps crashing during business hours,Infrastructure,High
I cannot remember my employee portal password,Account Access,Low
Administrator credentials for company email have been compromised,Security,Critical
I need assistance because outlook stops responding after a few minutes,Software,Medium
Support needed: an important feature in desktop application has completely stopped working,Software,High
Please help. desktop application is completely unusable and blocking my work,Software,High
Administrator credentials for customer portal have been compromised,Security,Critical
I am unable to authenticate to HR portal,Account Access,Medium
Support needed: performance of the internal portal has degraded,Infrastructure,Medium
Please help. i need help installing CRM application,Software,Low
Please help. the database server is unavailable company wide,Infrastructure,Critical
Urgent issue: administrator credentials for company email have been compromised,Security,Critical
The printer connected to my desktop computer has a minor issue,Hardware,Low
Many employees cannot access the production environment,Infrastructure,High
Please help. internet latency is very high in the engineering floor,Network,Medium
The display on my desktop computer keeps flickering,Hardware,Medium
The network connection keeps dropping in the finance department,Network,Medium
I need assistance because the cloud platform is responding slowly to requests,Infrastructure,Medium
I received a suspicious email related to employee portal,Security,Medium
The entire production environment for customer platform has gone offline,Infrastructure,Critical
Please help. the internal portal is experiencing a serious service disruption,Infrastructure,High
Urgent issue: i need help resetting my password for company account,Account Access,Low
I need help resetting my password for cloud account,Account Access,Low
I need help resetting my password for company email,Account Access,Low
The database server is running unusually slowly,Infrastructure,Medium
Urgent issue: i want to change my cloud account password,Account Access,Low
Please help. my Microsoft 365 credentials may have been compromised,Security,High
I need assistance because i need help configuring Outlook,Software,Low
I need assistance because the production database server is down across the organization,Infrastructure,Critical
I received an unexpected security alert from company email,Security,Medium
I need assistance because excel is completely unusable and blocking my work,Software,High
I forgot my password for cloud account,Account Access,Low
company application crashes whenever I open it,Software,Medium
Many employees cannot access the internal portal,Infrastructure,High
An attacker gained administrator access to Microsoft 365,Security,Critical
Urgent issue: the entire production environment for database server has gone offline,Infrastructure,Critical
Urgent issue: please explain a charge for company purchase,Billing,Low
Urgent issue: an attacker gained administrator access to Microsoft 365,Security,Critical
Urgent issue: i need help installing Microsoft Teams,Software,Low
Network access is completely unavailable in the engineering floor,Network,High
Support needed: there is a complete outage of the backend service,Infrastructure,Critical
I need assistance because i received a suspicious email related to customer portal,Security,Medium
Please help. login to employee portal keeps failing,Account Access,Medium
Administrator credentials for company account have been compromised,Security,Critical
Urgent issue: an attacker gained administrator access to cloud account,Security,Critical
My desktop computer shuts down immediately after startup,Hardware,High
Please help. the display on my desktop computer keeps flickering,Hardware,Medium
Please help. my cloud account credentials may have been compromised,Security,High
ERP system closes whenever I try to read a message,Software,Medium
Urgent issue: accounting software crashes continuously for several employees,Software,High
Support needed: someone logged into my company email account without permission,Security,High
ERP system stops responding after a few minutes,Software,Medium
Please provide the receipt for cloud subscription,Billing,Low
I need assistance because many employees cannot access the internal portal,Infrastructure,High
Urgent issue: administrator credentials for company account have been compromised,Security,Critical
Support needed: i urgently need access to employee portal for business operations,Account Access,High
Support needed: suspicious activity was detected on my company email account,Security,High
My company laptop shuts down immediately after startup,Hardware,High
Performance of the production environment has degraded,Infrastructure,Medium
Excel stops responding after a few minutes,Software,Medium
Support needed: where can I download my support plan invoice,Billing,Low
The production server is responding slowly to requests,Infrastructure,Medium
Microsoft Teams failure is preventing the team from completing critical work,Software,High
My office computer continuously restarts and I cannot work,Hardware,High
Urgent issue: i cannot access my cloud account account after several attempts,Account Access,Medium
Urgent issue: my laptop screen flashes while I am working,Hardware,Medium
There is an unexpected charge for support plan,Billing,Medium
Urgent issue: my laptop is making a strange noise,Hardware,Low
Urgent issue: the monitor connected to my company laptop keeps disconnecting,Hardware,Medium
The keyboard on my office computer has a few keys that do not work,Hardware,Low
Login to company email keeps failing,Account Access,Medium
There was an unusual login attempt on admin dashboard,Security,Medium
Suspicious activity was detected on my admin dashboard account,Security,High
Please help. confidential information from HR portal was accessed without permission,Security,Critical
My refund for monthly subscription is delayed,Billing,Medium
I need assistance because outlook failure is preventing the team from completing critical work,Software,High
Support needed: someone may have stolen my Microsoft 365 login credentials,Security,High
The display on my office computer keeps flickering,Hardware,Medium
Please help. the monitor connected to my laptop keeps disconnecting,Hardware,Medium
There was an unusual login attempt on employee portal,Security,Medium
Support needed: performance of the backend service has degraded,Infrastructure,Medium
I need billing details for company purchase,Billing,Low
Support needed: sensitive company data from company email may have been stolen,Security,Critical
Please help. confidential information from Microsoft 365 was accessed without permission,Security,Critical
Urgent issue: the engineering floor cannot connect to the corporate network,Network,High
The production backend service is down across the organization,Infrastructure,Critical
Please help. the internal portal is unavailable company wide,Infrastructure,Critical
Please help. the customer platform keeps crashing during business hours,Infrastructure,High
WiFi disconnects frequently in the branch office,Network,Medium
Support needed: cRM application crashes whenever I open it,Software,Medium
Urgent issue: the entire production environment for customer platform has gone offline,Infrastructure,Critical
The entire production server is offline and nobody can use it,Infrastructure,Critical
I need assistance because many employees cannot access the database server,Infrastructure,High
The office computer has completely stopped working,Hardware,High
CRM application freezes during normal work,Software,Medium
Support needed: my company email account is locked,Account Access,Medium
Someone logged into my customer portal account without permission,Security,High
Urgent issue: i received an unexpected security alert from cloud account,Security,Medium
The internal portal is unavailable for many users,Infrastructure,High
I need assistance because someone logged into my admin dashboard account without permission,Security,High
The amount on my support plan invoice is incorrect,Billing,Medium
The database server is experiencing a serious service disruption,Infrastructure,High
Support needed: some employees are having trouble accessing the internal portal,Infrastructure,Medium
Urgent issue: someone may have stolen my company email login credentials,Security,High
Urgent issue: my credentials are being rejected by company account,Account Access,Medium
I need assistance because i cannot access my Microsoft 365 account after several attempts,Account Access,Medium
A security breach exposed confidential data in cloud account,Security,Critical
Urgent issue: malware has infected systems connected to cloud account,Security,Critical
The production server has completely crashed for all users,Infrastructure,Critical
My access to company email suddenly stopped during critical work,Account Access,High
Excel is completely unusable and blocking my work,Software,High
My employee portal account was disabled and important work is blocked,Account Access,High
I need assistance because employees keep losing network connectivity in the meeting area,Network,Medium
A duplicate charge appeared for cloud subscription,Billing,High
Please help. administrator credentials for admin dashboard have been compromised,Security,Critical
Support needed: my customer portal account is locked,Account Access,Medium
I need assistance because i forgot my password for employee portal,Account Access,Low
Please help. i am unable to authenticate to company email,Account Access,Medium
My desktop computer screen flashes while I am working,Hardware,Medium
Urgent issue: the entire engineering floor has lost network connectivity,Network,High
Support needed: the entire meeting area has lost network connectivity,Network,High
Please help. my desktop computer screen flashes while I am working,Hardware,Medium
Performance of the internal portal has degraded,Infrastructure,Medium
Urgent issue: confidential information from company account was accessed without permission,Security,Critical
I need assistance because the latest update for accounting software will not install,Software,Low
The mouse connected to my laptop is not responding correctly,Hardware,Low
My laptop screen flashes while I am working,Hardware,Medium
Where can I download my monthly subscription invoice,Billing,Low
Support needed: payment failed but money was deducted for monthly subscription,Billing,High
Please help. money was taken even though the support plan transaction failed,Billing,High
Urgent issue: i was charged the wrong price for service plan,Billing,Medium
I cannot sign into admin dashboard,Account Access,Medium
I need assistance because there is a complete outage of the cloud platform,Infrastructure,Critical
An important feature in Excel has completely stopped working,Software,High
Payment failed but money was deducted for software license,Billing,High
I need assistance because all customers have lost access to the cloud platform,Infrastructure,Critical
I cannot remember my Microsoft 365 password,Account Access,Low
Support needed: the production environment is experiencing a serious service disruption,Infrastructure,High
Outlook installation fails on my computer,Software,Low
I need assistance because wiFi disconnects frequently in the engineering floor,Network,Medium
I was charged the wrong price for company purchase,Billing,Medium
Please help. suspicious activity was detected on my cloud account account,Security,High
Support needed: a security breach exposed confidential data in customer portal,Security,Critical
Please help. microsoft Teams displays an unexpected error,Software,Medium
Please help. a security breach exposed confidential data in Microsoft 365,Security,Critical
All customers have lost access to the production environment,Infrastructure,Critical
Support needed: wiFi disconnects frequently in the main office,Network,Medium
There was an unusual login attempt on company email,Security,Medium
Some employees are having trouble accessing the customer platform,Infrastructure,Medium
Urgent issue: please provide the receipt for cloud subscription,Billing,Low
Urgent issue: internet speed is slightly slow in the branch office,Network,Low
The customer platform is running unusually slowly,Infrastructure,Medium
The latest update for accounting software will not install,Software,Low
Urgent issue: sensitive company data from Microsoft 365 may have been stolen,Security,Critical
Please help. login to customer portal keeps failing,Account Access,Medium
accounting software crashes continuously for several employees,Software,High
Support needed: there is an unexpected charge for monthly subscription,Billing,Medium
The web application is running unusually slowly,Infrastructure,Medium
Someone may have stolen my Microsoft 365 login credentials,Security,High
I cannot remember my company account password,Account Access,Low
Support needed: eRP system installation fails on my computer,Software,Low
My credentials are being rejected by HR portal,Account Access,Medium
Urgent issue: administrator credentials for employee portal have been compromised,Security,Critical
Urgent issue: my office computer will not turn on,Hardware,High
Urgent issue: i received an unexpected security alert from employee portal,Security,Medium
Please explain a charge for company purchase,Billing,Low
My refund for monthly subscription has not arrived,Billing,Medium
The entire branch office has lost network connectivity,Network,High
There is a complete outage of the customer platform,Infrastructure,Critical
My credentials are being rejected by Microsoft 365,Account Access,Medium
My company email credentials may have been compromised,Security,High
Urgent issue: my access to company account suddenly stopped during critical work,Account Access,High
company application installation fails on my computer,Software,Low
I need help configuring ERP system,Software,Low
I want to change my HR portal password,Account Access,Low
WiFi signal is weak in the branch office,Network,Low
The connection becomes unstable throughout the day in the meeting area,Network,Medium
I need assistance because my company email credentials may have been compromised,Security,High
Please help. where can I download my software license invoice,Billing,Low
I need help configuring Excel,Software,Low
I want to change my company email password,Account Access,Low
Please send me a password reset for HR portal,Account Access,Low
There is a complete outage of the production server,Infrastructure,Critical
Urgent issue: the entire production environment for production environment has gone offline,Infrastructure,Critical
The entire production environment for backend service has gone offline,Infrastructure,Critical
Someone may have stolen my company account login credentials,Security,High
Please help. the entire branch office has lost network connectivity,Network,High
The web application has completely crashed for all users,Infrastructure,Critical
WiFi disconnects frequently in the main office,Network,Medium
Please help. i forgot my password for admin dashboard,Account Access,Low
My account was charged multiple times for monthly subscription,Billing,High
My refund for software license has not arrived,Billing,Medium
A duplicate charge appeared for support plan,Billing,High
All customers have lost access to the customer platform,Infrastructure,Critical
desktop application closes unexpectedly when I use it,Software,Medium
WiFi signal is weak in the main office,Network,Low
Support needed: my refund for cloud subscription is delayed,Billing,Medium
Internet disconnects several times a day in the main office,Network,Medium
I need assistance because i want to change my Microsoft 365 password,Account Access,Low
The entire production environment for production environment has gone offline,Infrastructure,Critical
I need assistance because login to admin dashboard keeps failing,Account Access,Medium
Support needed: the backend service is running unusually slowly,Infrastructure,Medium
The production server is unavailable company wide,Infrastructure,Critical
Support needed: please send me a password reset for company email,Account Access,Low
Support needed: my admin dashboard credentials may have been compromised,Security,High
Performance of the production server has degraded,Infrastructure,Medium
Please help. confidential information from employee portal was accessed without permission,Security,Critical
The production server is running unusually slowly,Infrastructure,Medium
Please help. my credentials are being rejected by company email,Account Access,Medium
The entire production environment for cloud platform has gone offline,Infrastructure,Critical
I need assistance because the web application has completely crashed for all users,Infrastructure,Critical
There is a complete outage of the production environment,Infrastructure,Critical
I need help resetting my password for company account,Account Access,Low
Urgent issue: my refund for support plan is delayed,Billing,Medium
I need assistance because an important feature in accounting software has completely stopped working,Software,High
Urgent issue: money was taken even though the cloud subscription transaction failed,Billing,High
I need assistance because login to company email keeps failing,Account Access,Medium
Support needed: i need billing details for monthly subscription,Billing,Low
I am unable to authenticate to company account,Account Access,Medium
Support needed: accounting software crashes whenever I open it,Software,Medium
Please help. eRP system freezes during normal work,Software,Medium
Please help. payment failed but money was deducted for cloud subscription,Billing,High
I need assistance because my credentials are being rejected by cloud account,Account Access,Medium
A security breach exposed confidential data in employee portal,Security,Critical
Urgent issue: my account was charged multiple times for cloud subscription,Billing,High
Urgent issue: the entire database server is offline and nobody can use it,Infrastructure,Critical
Urgent issue: i urgently need access to HR portal for business operations,Account Access,High
The connection becomes unstable throughout the day in the main office,Network,Medium
My workstation is making a strange noise,Hardware,Low
I need a copy of my invoice for support plan,Billing,Low
The mouse connected to my desktop computer is not responding correctly,Hardware,Low
The printer connected to my workstation has a minor issue,Hardware,Low
I received a suspicious email related to HR portal,Security,Medium
Support needed: wiFi coverage is poor in the support department,Network,Low
Employees in the branch office cannot connect to the company VPN,Network,High
I need assistance because accounting software stops responding after a few minutes,Software,Medium
Suspicious activity was detected on my HR portal account,Security,High
Payment failed but money was deducted for company purchase,Billing,High
Login to customer portal keeps failing,Account Access,Medium
Support needed: the printer connected to my company laptop has a minor issue,Hardware,Low
I need assistance because i cannot access my admin dashboard account after several attempts,Account Access,Medium
Support needed: company application closes unexpectedly when I use it,Software,Medium
Support needed: a major component of the production environment is failing,Infrastructure,High
Microsoft Teams installation fails on my computer,Software,Low
My account was charged multiple times for support plan,Billing,High
Excel crashes when I try to open a file,Software,Medium
Please help. i am unable to authenticate to admin dashboard,Account Access,Medium
I need assistance because i need a copy of my invoice for cloud subscription,Billing,Low
I need assistance because the mouse connected to my company laptop is not responding correctly,Hardware,Low
Support needed: a security breach exposed confidential data in employee portal,Security,Critical
Support needed: i received an unexpected security alert from Microsoft 365,Security,Medium
Please help. sensitive company data from company account may have been stolen,Security,Critical
